id,masv,hoten,sdt,diachi,lop,ma_nganh,ngay_sinh,gioi_tinh,ghi_chu
44,SV00044,Sinh viên 44,0950147919,Hạ Long 44,DL5,DL,07/05/2004,Nữ,
45,SV00045,Sinh viên 45,0994368607,Hạ Long 45,DL1,DL,01/06/2005,Nữ,
46,SV00046,Sinh viên 46,0935132821,Hạ Long 46,QTKD1,QTKD,18/05/2002,Nữ,
47,SV00047,Sinh viên 47,0977010795,Hạ Long 47,NN1,NN,23/06/2001,Nam,
48,SV00048,Sinh viên 48,0970931694,Hạ Long 48,NN3,NN,22/05/2000,Nam,
49,SV00049,Sinh viên 49,0965703246,Hạ Long 49,QTKD2,QTKD,02/04/2000,Nữ,
50,SV00050,Sinh viên 50,0916862394,Hạ Long 50,DL1,DL,01/11/2001,Nam,
51,SV00051,Sinh viên 51,0952163646,Hạ Long 51,KT2,KT,04/07/2002,Nam,
52,SV00052,Sinh viên 52,0995396948,Hạ Long 52,NN5,NN,12/11/2002,Nữ,
53,SV00053,Sinh viên 53,0976173220,Hạ Long 53,QTKD1,QTKD,10/11/2005,Nam,
54,SV00054,Sinh viên 54,0960748499,Hạ Long 54,NN3,NN,04/10/2005,Nam,
55,SV00055,Sinh viên 55,0919943785,Hạ Long 55,NN1,NN,27/06/2002,Nam,
56,SV00056,Sinh viên 56,0944146753,Hạ Long 56,CNTT2,CNTT,16/08/2003,Nữ,
57,SV00057,Sinh viên 57,0955377578,Hạ Long 57,KT3,KT,13/03/2001,Nữ,
58,SV00058,Sinh viên 58,0958739783,Hạ Long 58,QTKD4,QTKD,22/06/2000,Nữ,
59,SV00059,Sinh viên 59,0929629572,Hạ Long 59,NN3,NN,16/08/2001,Nam,
60,SV00060,Sinh viên 60,0933961659,Hạ Long 60,CNTT3,CNTT,04/02/2004,Nam,
61,SV00061,Sinh viên 61,0911621411,Hạ Long 61,KT1,KT,18/03/2005,Nam,
62,SV00062,Sinh viên 62,0979964530,Hạ Long 62,KT5,KT,05/02/2004,Nữ,
63,SV00063,Sinh viên 63,0984289201,Hạ Long 63,DL2,DL,07/12/2000,Nữ,
64,SV00064,Sinh viên 64,0930843995,Hạ Long 64,CNTT1,CNTT,06/10/2000,Nữ,
65,SV00065,Sinh viên 65,0919099783,Hạ Long 65,NN4,NN,24/04/2000,Nữ,
66,SV00066,Sinh viên 66,0968279667,Hạ Long 66,DL2,DL,26/03/2004,Nam,
67,SV00067,Sinh viên 67,0934220392,Hạ Long 67,KT1,KT,25/04/2001,Nữ,
68,SV00068,Sinh viên 68,0953911453,Hạ Long 68,NN2,NN,07/04/2001,Nữ,
69,SV00069,Sinh viên 69,0998864881,Hạ Long 69,DL4,DL,23/09/2000,Nữ,
70,SV00070,Sinh viên 70,0940475832,Hạ Long 70,QTKD2,QTKD,23/12/2002,Nữ,
71,SV00071,Sinh viên 71,0989598368,Hạ Long 71,CNTT2,CNTT,26/04/2005,Nữ,
72,SV00072,Sinh viên 72,0988344080,Hạ Long 72,CNTT3,CNTT,08/11/2000,Nữ,
73,SV00073,Sinh viên 73,0981843965,Hạ Long 73,DL3,DL,03/01/2001,Nam,
74,SV00074,Sinh viên 74,0921362742,Hạ Long 74,KT3,KT,21/10/2005,Nam,
75,SV00075,Sinh viên 75,0999277037,Hạ Long 75,NN1,NN,03/03/2001,Nam,
76,SV00076,Sinh viên 76,0921419237,Hạ Long 76,QTKD2,QTKD,07/09/2000,Nam,
77,SV00077,Sinh viên 77,0995055427,Hạ Long 77,KT5,KT,13/11/2000,Nam,
78,SV00078,Sinh viên 78,0957482200,Hạ Long 78,DL5,DL,09/09/2001,Nam,
79,SV00079,Sinh viên 79,0935982010,Hạ Long 79,DL2,DL,22/11/2000,Nam,
80,SV00080,Sinh viên 80,0960068483,Hạ Long 80,KT5,KT,09/09/2002,Nam,
81,SV00081,Sinh viên 81,0921539872,Hạ Long 81,QTKD4,QTKD,06/12/2002,Nữ,
82,SV00082,Sinh viên 82,0974077178,Hạ Long 82,CNTT4,CNTT,27/11/2000,Nữ,
83,SV00083,Sinh viên 83,0916181623,Hạ Long 83,KT2,KT,07/10/2003,Nam,
84,SV00084,Sinh viên 84,0996397479,Hạ Long 84,CNTT5,CNTT,25/08/2004,Nam,
85,SV00085,Sinh viên 85,0951246222,Hạ Long 85,KT1,KT,06/01/2000,Nam,
86,SV00086,Sinh viên 86,0918908588,Hạ Long 86,DL1,DL,25/09/2004,Nam,
87,SV00087,Sinh viên 87,0956488431,Hạ Long 87,DL2,DL,18/05/2004,Nữ,
88,SV00088,Sinh viên 88,0936448187,Hạ Long 88,QTKD2,QTKD,14/05/2005,Nữ,
89,SV00089,Sinh viên 89,0998172461,Hạ Long 89,DL4,DL,22/07/2002,Nữ,
90,SV00090,Sinh viên 90,0981314614,Hạ Long 90,NN4,NN,11/03/2002,Nữ,
91,SV00091,Sinh viên 91,0911414777,Hạ Long 91,KT3,KT,09/10/2005,Nam,
92,SV00092,Sinh viên 92,0928840468,Hạ Long 92,DL5,DL,11/07/2002,Nam,
93,SV00093,Sinh viên 93,0960896147,Hạ Long 93,CNTT2,CNTT,01/04/2000,Nữ,
94,SV00094,Sinh viên 94,0988529263,Hạ Long 94,DL4,DL,22/09/2003,Nam,
95,SV00095,Sinh viên 95,0960786348,Hạ Long 95,KT4,KT,24/05/2004,Nữ,
96,SV00096,Sinh viên 96,0995452714,Hạ Long 96,QTKD4,QTKD,02/12/2002,Nam,
97,SV00097,Sinh viên 97,0977201781,Hạ Long 97,DL4,DL,22/06/2000,Nam,
98,SV00098,Sinh viên 98,0934842505,Hạ Long 98,KT1,KT,26/11/2005,Nữ,
99,SV00099,Sinh viên 99,0923376975,Hạ Long 99,CNTT3,CNTT,28/12/2000,Nữ,
100,SV00100,Sinh viên 100,0942223310,Hạ Long 100,KT1,KT,16/07/2003,Nam,
101,SV00101,Sinh viên 101,0987683615,Hạ Long 101,QTKD2,QTKD,08/01/2004,Nam,
102,SV00102,Sinh viên 102,0925701319,Hạ Long 102,KT4,KT,19/10/2004,Nam,
103,SV00103,Sinh viên 103,0921685948,Hạ Long 103,CNTT4,CNTT,13/06/2003,Nữ,
104,SV00104,Sinh viên 104,0941170361,Hạ Long 104,NN3,NN,13/05/2004,Nam,
105,SV00105,Sinh viên 105,0949015340,Hạ Long 105,NN5,NN,24/07/2003,Nữ,
106,SV00106,Sinh viên 106,0994790115,Hạ Long 106,CNTT4,CNTT,27/10/2001,Nữ,
107,SV00107,Sinh viên 107,0962937056,Hạ Long 107,QTKD4,QTKD,20/09/2003,Nam,
108,SV00108,Sinh viên 108,0957073425,Hạ Long 108,NN5,NN,24/06/2002,Nam,
109,SV00109,Sinh viên 109,0940524527,Hạ Long 109,CNTT4,CNTT,08/02/2005,Nữ,
110,SV00110,Sinh viên 110,0946223340,Hạ Long 110,DL4,DL,09/05/2005,Nữ,
111,SV00111,Sinh viên 111,0956240680,Hạ Long 111,CNTT4,CNTT,02/04/2005,Nữ,
112,SV00112,Sinh viên 112,0978975489,Hạ Long 112,KT1,KT,04/04/2000,Nam,
113,SV00113,Sinh viên 113,0949532834,Hạ Long 113,NN5,NN,06/07/2004,Nữ,
114,SV00114,Sinh viên 114,0977411074,Hạ Long 114,QTKD5,QTKD,27/12/2003,Nữ,
115,SV00115,Sinh viên 115,0945936125,Hạ Long 115,KT5,KT,08/12/2005,Nam,
116,SV00116,Sinh viên 116,0939433341,Hạ Long 116,CNTT5,CNTT,22/03/2001,Nam,
117,SV00117,Sinh viên 117,0982951062,Hạ Long 117,DL1,DL,27/09/2000,Nam,
118,SV00118,Sinh viên 118,0987058886,Hạ Long 118,QTKD4,QTKD,24/06/2003,Nữ,
119,SV00119,Sinh viên 119,0955868989,Hạ Long 119,CNTT2,CNTT,12/12/2005,Nam,
120,SV00120,Sinh viên 120,0957231998,Hạ Long 120,KT3,KT,18/01/2002,Nam,
121,SV00121,Sinh viên 121,0997427138,Hạ Long 121,NN4,NN,17/04/2001,Nam,
122,SV00122,Sinh viên 122,0953070351,Hạ Long 122,CNTT2,CNTT,16/10/2001,Nữ,
123,SV00123,Sinh viên 123,0964251249,Hạ Long 123,NN4,NN,07/10/2000,Nam,
124,SV00124,Sinh viên 124,0924081406,Hạ Long 124,CNTT1,CNTT,03/03/2001,Nam,
125,SV00125,Sinh viên 125,0958442227,Hạ Long 125,DL5,DL,20/02/2004,Nữ,
126,SV00126,Sinh viên 126,0919258473,Hạ Long 126,DL4,DL,13/07/2001,Nữ,
127,SV00127,Sinh viên 127,0932865368,Hạ Long 127,CNTT4,CNTT,04/06/2000,Nữ,
128,SV00128,Sinh viên 128,0940524377,Hạ Long 128,CNTT3,CNTT,04/09/2000,Nam,
129,SV00129,Sinh viên 129,0928417069,Hạ Long 129,KT4,KT,08/11/2004,Nam,
130,SV00130,Sinh viên 130,0936956906,Hạ Long 130,DL1,DL,23/08/2002,Nữ,
131,SV00131,Sinh viên 131,0976111102,Hạ Long 131,NN4,NN,03/03/2004,Nữ,
132,SV00132,Sinh viên 132,0963760071,Hạ Long 132,NN4,NN,11/10/2005,Nữ,
133,SV00133,Sinh viên 133,0973324254,Hạ Long 133,NN5,NN,16/10/2005,Nam,
134,SV00134,Sinh viên 134,0985363373,Hạ Long 134,DL5,DL,05/03/2000,Nam,
135,SV00135,Sinh viên 135,0913511335,Hạ Long 135,QTKD4,QTKD,04/06/2005,Nam,
136,SV00136,Sinh viên 136,0943557804,Hạ Long 136,DL4,DL,09/07/2002,Nữ,
137,SV00137,Sinh viên 137,0990860046,Hạ Long 137,KT3,KT,18/01/2000,Nữ,
138,SV00138,Sinh viên 138,0925193389,Hạ Long 138,DL3,DL,26/10/2005,Nữ,
139,SV00139,Sinh viên 139,0963604582,Hạ Long 139,KT3,KT,24/05/2002,Nữ,
140,SV00140,Sinh viên 140,0947680822,Hạ Long 140,DL2,DL,22/04/2005,Nam,
141,SV00141,Sinh viên 141,0964277614,Hạ Long 141,QTKD3,QTKD,02/08/2004,Nữ,
142,SV00142,Sinh viên 142,0925524326,Hạ Long 142,QTKD5,QTKD,01/04/2002,Nữ,
143,SV00143,Sinh viên 143,0975091106,Hạ Long 143,CNTT5,CNTT,05/03/2001,Nam,
144,SV00144,Sinh viên 144,0929752454,Hạ Long 144,CNTT1,CNTT,16/05/2001,Nam,
145,SV00145,Sinh viên 145,0913083337,Hạ Long 145,KT2,KT,22/02/2005,Nam,
146,SV00146,Sinh viên 146,0919131992,Hạ Long 146,QTKD5,QTKD,14/05/2003,Nữ,
147,SV00147,Sinh viên 147,0936327941,Hạ Long 147,DL2,DL,07/04/2005,Nữ,
148,SV00148,Sinh viên 148,0948113321,Hạ Long 148,NN2,NN,10/04/2004,Nữ,
149,SV00149,Sinh viên 149,0929795870,Hạ Long 149,KT5,KT,09/03/2003,Nữ,
150,SV00150,Sinh viên 150,0921852045,Hạ Long 150,KT4,KT,06/08/2000,Nam,
151,SV00151,Sinh viên 151,0937056633,Hạ Long 151,NN3,NN,27/12/2001,Nữ,
152,SV00152,Sinh viên 152,0990964600,Hạ Long 152,QTKD3,QTKD,09/05/2003,Nữ,
153,SV00153,Sinh viên 153,0941374866,Hạ Long 153,QTKD3,QTKD,10/09/2004,Nam,
154,SV00154,Sinh viên 154,0937912024,Hạ Long 154,NN1,NN,27/05/2002,Nữ,
155,SV00155,Sinh viên 155,0969075848,Hạ Long 155,NN4,NN,09/02/2001,Nữ,
156,SV00156,Sinh viên 156,0954605019,Hạ Long 156,CNTT3,CNTT,21/09/2004,Nam,
157,SV00157,Sinh viên 157,0934131951,Hạ Long 157,DL4,DL,03/11/2001,Nữ,
158,SV00158,Sinh viên 158,0953384993,Hạ Long 158,KT4,KT,26/07/2000,Nữ,
159,SV00159,Sinh viên 159,0957187712,Hạ Long 159,CNTT4,CNTT,24/02/2000,Nữ,
160,SV00160,Sinh viên 160,0974695642,Hạ Long 160,CNTT1,CNTT,15/09/2002,Nam,
161,SV00161,Sinh viên 161,0910594314,Hạ Long 161,NN2,NN,19/12/2000,Nam,
162,SV00162,Sinh viên 162,0915401473,Hạ Long 162,CNTT4,CNTT,02/06/2003,Nữ,
163,SV00163,Sinh viên 163,0918314608,Hạ Long 163,QTKD1,QTKD,07/12/2000,Nữ,
164,SV00164,Sinh viên 164,0957958333,Hạ Long 164,CNTT2,CNTT,22/09/2002,Nam,
165,SV00165,Sinh viên 165,0943417396,Hạ Long 165,QTKD1,QTKD,20/12/2003,Nam,
166,SV00166,Sinh viên 166,0990959388,Hạ Long 166,QTKD2,QTKD,12/04/2004,Nữ,
167,SV00167,Sinh viên 167,0959312875,Hạ Long 167,QTKD2,QTKD,02/01/2001,Nữ,
168,SV00168,Sinh viên 168,0979512894,Hạ Long 168,NN4,NN,13/01/2000,Nữ,
169,SV00169,Sinh viên 169,0968696144,Hạ Long 169,CNTT1,CNTT,26/12/2005,Nam,
170,SV00170,Sinh viên 170,0948164468,Hạ Long 170,QTKD5,QTKD,22/04/2004,Nữ,
171,SV00171,Sinh viên 171,0964360864,Hạ Long 171,DL1,DL,08/10/2004,Nam,
172,SV00172,Sinh viên 172,0986130555,Hạ Long 172,NN3,NN,09/03/2005,Nam,
173,SV00173,Sinh viên 173,0951879784,Hạ Long 173,KT2,KT,02/12/2000,Nữ,
174,SV00174,Sinh viên 174,0996971136,Hạ Long 174,QTKD5,QTKD,21/09/2002,Nam,
175,SV00175,Sinh viên 175,0971570338,Hạ Long 175,QTKD5,QTKD,23/03/2003,Nam,
176,SV00176,Sinh viên 176,0934371397,Hạ Long 176,QTKD2,QTKD,23/07/2004,Nam,
177,SV00177,Sinh viên 177,0986047425,Hạ Long 177,KT4,KT,05/04/2003,Nữ,
178,SV00178,Sinh viên 178,0924495678,Hạ Long 178,CNTT2,CNTT,23/01/2005,Nam,
179,SV00179,Sinh viên 179,0973314753,Hạ Long 179,NN1,NN,03/05/2004,Nữ,
180,SV00180,Sinh viên 180,0995540153,Hạ Long 180,KT5,KT,08/11/2003,Nam,
181,SV00181,Sinh viên 181,0955087701,Hạ Long 181,KT4,KT,18/02/2001,Nam,
182,SV00182,Sinh viên 182,0986268839,Hạ Long 182,CNTT3,CNTT,11/07/2000,Nam,
183,SV00183,Sinh viên 183,0918671467,Hạ Long 183,DL1,DL,13/04/2004,Nữ,
184,SV00184,Sinh viên 184,0955040101,Hạ Long 184,KT5,KT,19/02/2000,Nữ,
185,SV00185,Sinh viên 185,0961800643,Hạ Long 185,CNTT3,CNTT,18/11/2004,Nam,
186,SV00186,Sinh viên 186,0932631331,Hạ Long 186,DL5,DL,19/02/2002,Nữ,
187,SV00187,Sinh viên 187,0988260487,Hạ Long 187,CNTT4,CNTT,15/09/2004,Nam,
188,SV00188,Sinh viên 188,0969200491,Hạ Long 188,QTKD5,QTKD,18/06/2002,Nam,
189,SV00189,Sinh viên 189,0976328970,Hạ Long 189,NN3,NN,04/01/2004,Nữ,
190,SV00190,Sinh viên 190,0937917945,Hạ Long 190,CNTT5,CNTT,09/01/2000,Nữ,
191,SV00191,Sinh viên 191,0916425735,Hạ Long 191,NN1,NN,27/09/2005,Nữ,
192,SV00192,Sinh viên 192,0925253595,Hạ Long 192,DL5,DL,16/06/2003,Nữ,
193,SV00193,Sinh viên 193,0965574895,Hạ Long 193,QTKD4,QTKD,11/06/2003,Nữ,
194,SV00194,Sinh viên 194,0958022218,Hạ Long 194,CNTT3,CNTT,26/05/2000,Nam,
195,SV00195,Sinh viên 195,0986349003,Hạ Long 195,QTKD1,QTKD,12/03/2005,Nam,
196,SV00196,Sinh viên 196,0932270356,Hạ Long 196,KT5,KT,23/12/2000,Nam,
197,SV00197,Sinh viên 197,0914506002,Hạ Long 197,KT5,KT,19/02/2004,Nữ,
198,SV00198,Sinh viên 198,0978558778,Hạ Long 198,DL4,DL,04/10/2000,Nam,
199,SV00199,Sinh viên 199,0970232343,Hạ Long 199,NN4,NN,28/08/2004,Nữ,
200,SV00200,Sinh viên 200,0930935508,Hạ Long 200,CNTT5,CNTT,20/10/2003,Nam,
201,SV00201,Sinh viên 201,0966224268,Hạ Long 201,KT5,KT,21/06/2003,Nữ,
202,SV00202,Sinh viên 202,0990234853,Hạ Long 202,CNTT2,CNTT,27/11/2002,Nam,
203,SV00203,Sinh viên 203,0986867188,Hạ Long 203,QTKD2,QTKD,25/06/2001,Nam,
204,SV00204,Sinh viên 204,0975761199,Hạ Long 204,QTKD5,QTKD,18/05/2000,Nữ,
205,SV00205,Sinh viên 205,0923239450,Hạ Long 205,KT5,KT,01/02/2005,Nam,
206,SV00206,Sinh viên 206,0929380399,Hạ Long 206,NN4,NN,14/05/2004,Nam,
207,SV00207,Sinh viên 207,0952944845,Hạ Long 207,QTKD5,QTKD,21/07/2000,Nữ,
208,SV00208,Sinh viên 208,0957478720,Hạ Long 208,KT3,KT,01/02/2004,Nam,
209,SV00209,Sinh viên 209,0921118143,Hạ Long 209,DL2,DL,16/10/2005,Nữ,
210,SV00210,Sinh viên 210,0930553662,Hạ Long 210,NN4,NN,04/05/2005,Nữ,
211,SV00211,Sinh viên 211,0959331994,Hạ Long 211,NN4,NN,18/08/2001,Nam,
212,SV00212,Sinh viên 212,0945908427,Hạ Long 212,CNTT5,CNTT,16/02/2004,Nữ,
213,SV00213,Sinh viên 213,0984828054,Hạ Long 213,QTKD1,QTKD,06/07/2004,Nữ,
214,SV00214,Sinh viên 214,0969993153,Hạ Long 214,NN2,NN,11/07/2005,Nam,
215,SV00215,Sinh viên 215,0950972144,Hạ Long 215,DL2,DL,03/12/2001,Nữ,
216,SV00216,Sinh viên 216,0937666955,Hạ Long 216,CNTT2,CNTT,04/05/2005,Nam,
217,SV00217,Sinh viên 217,0999457869,Hạ Long 217,CNTT1,CNTT,15/11/2001,Nam,
218,SV00218,Sinh viên 218,0971340743,Hạ Long 218,DL3,DL,17/11/2001,Nam,
219,SV00219,Sinh viên 219,0999209005,Hạ Long 219,DL3,DL,03/04/2003,Nữ,
220,SV00220,Sinh viên 220,0995205103,Hạ Long 220,QTKD2,QTKD,24/10/2002,Nam,
221,SV00221,Sinh viên 221,0940743883,Hạ Long 221,KT1,KT,11/05/2004,Nữ,
222,SV00222,Sinh viên 222,0924611063,Hạ Long 222,KT4,KT,15/05/2002,Nam,
223,SV00223,Sinh viên 223,0978624802,Hạ Long 223,CNTT5,CNTT,26/08/2001,Nam,
224,SV00224,Sinh viên 224,0985076576,Hạ Long 224,NN3,NN,07/01/2003,Nam,
225,SV00225,Sinh viên 225,0915612751,Hạ Long 225,NN4,NN,28/12/2002,Nữ,
226,SV00226,Sinh viên 226,0959831138,Hạ Long 226,NN5,NN,16/04/2003,Nữ,
227,SV00227,Sinh viên 227,0976189791,Hạ Long 227,DL5,DL,11/07/2001,Nam,
228,SV00228,Sinh viên 228,0978052601,Hạ Long 228,QTKD3,QTKD,18/01/2005,Nam,
229,SV00229,Sinh viên 229,0962024273,Hạ Long 229,CNTT3,CNTT,28/07/2004,Nữ,
230,SV00230,Sinh viên 230,0999915281,Hạ Long 230,KT2,KT,20/03/2000,Nữ,
231,SV00231,Sinh viên 231,0911037566,Hạ Long 231,KT3,KT,11/01/2000,Nữ,
232,SV00232,Sinh viên 232,0941310435,Hạ Long 232,CNTT1,CNTT,20/05/2004,Nam,
233,SV00233,Sinh viên 233,0966863502,Hạ Long 233,NN3,NN,05/07/2001,Nam,
234,SV00234,Sinh viên 234,0998552376,Hạ Long 234,DL2,DL,15/04/2003,Nữ,
235,SV00235,Sinh viên 235,0992763892,Hạ Long 235,QTKD5,QTKD,20/01/2005,Nam,
236,SV00236,Sinh viên 236,0968946220,Hạ Long 236,QTKD3,QTKD,03/08/2005,Nữ,
237,SV00237,Sinh viên 237,0933618750,Hạ Long 237,KT2,KT,21/08/2005,Nữ,
238,SV00238,Sinh viên 238,0951044046,Hạ Long 238,KT3,KT,06/05/2005,Nữ,
239,SV00239,Sinh viên 239,0949886213,Hạ Long 239,QTKD1,QTKD,16/01/2000,Nam,
240,SV00240,Sinh viên 240,0936303962,Hạ Long 240,CNTT4,CNTT,07/08/2002,Nam,
241,SV00241,Sinh viên 241,0928415867,Hạ Long 241,QTKD5,QTKD,11/02/2004,Nữ,
242,SV00242,Sinh viên 242,0919027590,Hạ Long 242,NN1,NN,10/06/2005,Nam,
243,SV00243,Sinh viên 243,0926961499,Hạ Long 243,NN3,NN,16/10/2001,Nữ,
244,SV00244,Sinh viên 244,0948304994,Hạ Long 244,KT4,KT,27/02/2003,Nữ,
245,SV00245,Sinh viên 245,0960791947,Hạ Long 245,DL3,DL,05/08/2003,Nữ,
246,SV00246,Sinh viên 246,0956322017,Hạ Long 246,CNTT1,CNTT,12/06/2002,Nữ,
247,SV00247,Sinh viên 247,0923102107,Hạ Long 247,NN1,NN,27/04/2003,Nam,
248,SV00248,Sinh viên 248,0912407234,Hạ Long 248,NN2,NN,21/10/2001,Nam,
249,SV00249,Sinh viên 249,0930842252,Hạ Long 249,QTKD2,QTKD,21/08/2001,Nữ,
250,SV00250,Sinh viên 250,0960011732,Hạ Long 250,KT1,KT,17/05/2002,Nam,
251,SV00251,Sinh viên 251,0948662718,Hạ Long 251,DL3,DL,20/11/2004,Nam,
252,SV00252,Sinh viên 252,0926997384,Hạ Long 252,QTKD3,QTKD,25/11/2002,Nam,
253,SV00253,Sinh viên 253,0958912028,Hạ Long 253,KT1,KT,22/01/2005,Nam,
254,SV00254,Sinh viên 254,0914730163,Hạ Long 254,DL2,DL,19/07/2000,Nữ,
255,SV00255,Sinh viên 255,0919656854,Hạ Long 255,KT4,KT,21/08/2005,Nữ,
256,SV00256,Sinh viên 256,0977244182,Hạ Long 256,NN4,NN,11/02/2003,Nam,
257,SV00257,Sinh viên 257,0912029333,Hạ Long 257,KT3,KT,23/08/2004,Nam,
258,SV00258,Sinh viên 258,0945109128,Hạ Long 258,DL4,DL,06/03/2000,Nữ,
259,SV00259,Sinh viên 259,0929599753,Hạ Long 259,NN3,NN,20/03/2005,Nữ,
260,SV00260,Sinh viên 260,0975972924,Hạ Long 260,KT2,KT,13/12/2005,Nữ,
261,SV00261,Sinh viên 261,0919763831,Hạ Long 261,KT1,KT,04/03/2005,Nữ,
262,SV00262,Sinh viên 262,0959382113,Hạ Long 262,CNTT3,CNTT,26/10/2001,Nam,
263,SV00263,Sinh viên 263,0913470736,Hạ Long 263,KT5,KT,02/11/2002,Nam,
264,SV00264,Sinh viên 264,0936969619,Hạ Long 264,QTKD2,QTKD,12/05/2004,Nữ,
265,SV00265,Sinh viên 265,0956953767,Hạ Long 265,KT1,KT,08/09/2004,Nữ,
266,SV00266,Sinh viên 266,0928032278,Hạ Long 266,KT5,KT,16/08/2001,Nữ,
267,SV00267,Sinh viên 267,0969805365,Hạ Long 267,QTKD3,QTKD,15/04/2003,Nam,
268,SV00268,Sinh viên 268,0962087303,Hạ Long 268,CNTT5,CNTT,18/11/2003,Nam,
269,SV00269,Sinh viên 269,0987856949,Hạ Long 269,KT4,KT,23/09/2004,Nữ,
270,SV00270,Sinh viên 270,0980446100,Hạ Long 270,DL3,DL,22/09/2001,Nữ,
271,SV00271,Sinh viên 271,0963649073,Hạ Long 271,NN2,NN,05/10/2002,Nam,
272,SV00272,Sinh viên 272,0952696899,Hạ Long 272,QTKD4,QTKD,01/05/2004,Nam,
