id,masv,hoten,cc,dk1,dk2,dt,diem_trung_binh,ghi_chu
65,SV00065,Sinh viên 65,5.1,9.6,6.4,5.5,6.21,Trung bình
66,SV00066,Sinh viên 66,9.0,3.5,5.1,8.2,7.11,Khá
67,SV00067,Sinh viên 67,5.2,5.1,6.9,7.2,6.64,Khá
68,SV00068,Sinh viên 68,6.2,7.0,8.2,9.4,8.54,Giỏi
69,SV00069,Sinh viên 69,7.7,6.3,5.6,7.8,7.23,Khá
70,SV00070,Sinh viên 70,5.5,9.8,5.3,8.1,7.67,Khá
71,SV00071,Sinh viên 71,9.4,6.1,8.6,2.5,4.64,Yếu
72,SV00072,Sinh viên 72,7.0,7.9,4.2,10.0,8.52,Giỏi
73,SV00073,Sinh viên 73,9.8,8.5,7.8,2.7,5.04,Trung bình
74,SV00074,Sinh viên 74,7.2,8.7,6.4,7.4,7.43,Khá
75,SV00075,Sinh viên 75,7.6,9.2,4.7,9.4,8.48,Giỏi
76,SV00076,Sinh viên 76,5.1,4.9,7.5,6.0,5.97,Trung bình
77,SV00077,Sinh viên 77,5.4,9.3,8.5,6.0,6.81,Khá
78,SV00078,Sinh viên 78,7.6,6.4,5.0,4.9,5.41,Trung bình
79,SV00079,Sinh viên 79,9.6,3.7,8.9,3.3,4.83,Yếu
80,SV00080,Sinh viên 80,7.9,5.4,3.1,7.4,6.51,Khá
81,SV00081,Sinh viên 81,7.4,9.0,5.2,9.8,8.75,Giỏi
82,SV00082,Sinh viên 82,9.5,3.6,4.7,7.9,6.94,Khá
83,SV00083,Sinh viên 83,5.2,5.6,9.8,7.6,7.39,Khá
84,SV00084,Sinh viên 84,5.7,7.3,8.1,6.4,6.72,Khá
85,SV00085,Sinh viên 85,6.3,9.1,5.5,2.3,4.2,Yếu
86,SV00086,Sinh viên 86,8.8,4.3,5.0,7.4,6.72,Khá
87,SV00087,Sinh viên 87,5.1,4.0,4.3,8.7,6.97,Khá
88,SV00088,Sinh viên 88,6.5,7.8,7.8,5.3,6.17,Trung bình
89,SV00089,Sinh viên 89,8.2,4.4,3.7,9.3,7.62,Khá
90,SV00090,Sinh viên 90,8.4,5.1,3.2,4.1,4.54,Yếu
91,SV00091,Sinh viên 91,5.3,3.0,9.5,3.2,4.33,Yếu
92,SV00092,Sinh viên 92,9.6,7.0,6.9,2.2,4.37,Yếu
93,SV00093,Sinh viên 93,9.5,3.6,8.8,2.4,4.25,Yếu
94,SV00094,Sinh viên 94,6.9,8.0,8.3,6.6,7.09,Khá
95,SV00095,Sinh viên 95,6.3,6.6,5.5,6.3,6.22,Trung bình
96,SV00096,Sinh viên 96,6.9,6.5,4.4,5.8,5.8,Trung bình
97,SV00097,Sinh viên 97,9.8,5.0,6.1,3.5,4.75,Yếu
98,SV00098,Sinh viên 98,8.9,6.3,8.0,2.1,4.29,Yếu
99,SV00099,Sinh viên 99,7.3,6.6,8.0,9.6,8.68,Giỏi
100,SV00100,Sinh viên 100,7.9,3.8,5.0,8.1,6.97,Khá
101,SV00101,Sinh viên 101,8.4,7.6,7.1,5.3,6.22,Trung bình
102,SV00102,Sinh viên 102,8.8,3.2,9.3,5.3,5.93,Trung bình
103,SV00103,Sinh viên 103,9.0,6.1,3.5,9.2,7.86,Khá
104,SV00104,Sinh viên 104,5.5,5.6,3.0,4.7,4.66,Yếu
105,SV00105,Sinh viên 105,8.6,6.9,5.4,4.3,5.29,Trung bình
106,SV00106,Sinh viên 106,7.9,5.6,5.8,7.0,6.7,Khá
107,SV00107,Sinh viên 107,7.6,5.1,8.4,8.2,7.7,Khá
108,SV00108,Sinh viên 108,6.6,6.6,6.0,3.8,4.83,Yếu
109,SV00109,Sinh viên 109,9.6,9.1,4.1,9.0,8.34,Giỏi
110,SV00110,Sinh viên 110,9.9,6.5,7.3,4.4,5.7,Trung bình
111,SV00111,Sinh viên 111,7.8,6.5,8.4,2.4,4.46,Yếu
112,SV00112,Sinh viên 112,8.3,7.6,5.3,6.2,6.48,Trung bình
113,SV00113,Sinh viên 113,7.5,10.0,7.3,6.3,7.12,Khá
114,SV00114,Sinh viên 114,7.1,9.2,7.7,6.2,6.96,Khá
115,SV00115,Sinh viên 115,9.0,5.0,3.5,3.7,4.39,Yếu
116,SV00116,Sinh viên 116,5.6,5.8,6.7,7.3,6.81,Khá
117,SV00117,Sinh viên 117,8.5,7.4,7.9,3.2,5.06,Trung bình
118,SV00118,Sinh viên 118,5.4,6.0,3.3,6.3,5.71,Trung bình
119,SV00119,Sinh viên 119,5.3,7.6,3.4,5.8,5.66,Trung bình
120,SV00120,Sinh viên 120,6.1,7.7,3.5,7.1,6.55,Khá
121,SV00121,Sinh viên 121,8.6,7.9,7.3,4.3,5.72,Trung bình
122,SV00122,Sinh viên 122,7.9,6.8,9.9,6.9,7.43,Khá
123,SV00123,Sinh viên 123,6.2,7.2,7.7,6.7,6.88,Khá
124,SV00124,Sinh viên 124,5.2,3.0,9.2,2.9,4.09,Yếu
125,SV00125,Sinh viên 125,9.4,3.9,6.5,9.8,8.38,Giỏi
126,SV00126,Sinh viên 126,6.9,7.2,3.1,5.5,5.54,Trung bình
127,SV00127,Sinh viên 127,8.6,4.5,4.4,3.2,4.12,Yếu
128,SV00128,Sinh viên 128,6.3,3.1,5.0,4.0,4.24,Yếu
129,SV00129,Sinh viên 129,8.1,8.8,9.9,8.5,8.71,Giỏi
130,SV00130,Sinh viên 130,8.6,4.9,3.5,4.3,4.7,Yếu
131,SV00131,Sinh viên 131,7.7,4.9,7.8,3.4,4.71,Yếu
132,SV00132,Sinh viên 132,5.1,9.9,5.8,8.5,7.96,Khá
133,SV00133,Sinh viên 133,5.1,3.1,3.3,5.3,4.65,Yếu
134,SV00134,Sinh viên 134,9.9,8.1,5.3,7.2,7.32,Khá
135,SV00135,Sinh viên 135,9.2,3.9,5.1,7.7,6.89,Khá
136,SV00136,Sinh viên 136,7.5,4.9,8.3,2.9,4.47,Yếu
137,SV00137,Sinh viên 137,6.7,3.9,9.8,6.0,6.32,Trung bình
138,SV00138,Sinh viên 138,7.9,6.5,4.7,3.6,4.63,Yếu
139,SV00139,Sinh viên 139,9.6,9.2,9.7,4.9,6.73,Khá
140,SV00140,Sinh viên 140,8.4,5.5,5.4,3.2,4.39,Yếu
141,SV00141,Sinh viên 141,6.5,9.1,3.4,5.6,5.88,Trung bình
142,SV00142,Sinh viên 142,7.5,5.5,3.2,3.6,4.21,Yếu
143,SV00143,Sinh viên 143,7.2,9.6,5.1,2.1,4.18,Yếu
144,SV00144,Sinh viên 144,9.2,4.3,3.6,9.3,7.69,Khá
145,SV00145,Sinh viên 145,9.1,7.1,8.0,5.0,6.17,Trung bình
146,SV00146,Sinh viên 146,8.5,5.1,9.1,8.5,8.08,Giỏi
147,SV00147,Sinh viên 147,5.3,8.2,7.6,8.7,8.12,Giỏi
148,SV00148,Sinh viên 148,6.4,7.9,6.8,5.7,6.26,Trung bình
149,SV00149,Sinh viên 149,8.8,5.8,7.8,2.1,4.18,Yếu
150,SV00150,Sinh viên 150,9.1,6.8,9.2,5.0,6.31,Trung bình
151,SV00151,Sinh viên 151,6.7,5.4,4.8,3.6,4.36,Yếu
152,SV00152,Sinh viên 152,9.5,5.3,8.0,8.3,7.93,Khá
153,SV00153,Sinh viên 153,8.0,3.7,6.2,5.1,5.34,Trung bình
154,SV00154,Sinh viên 154,6.7,9.8,5.3,6.8,7.02,Khá
155,SV00155,Sinh viên 155,9.5,6.3,9.5,4.6,6.08,Trung bình
156,SV00156,Sinh viên 156,8.9,5.4,8.3,9.3,8.53,Giỏi
157,SV00157,Sinh viên 157,6.6,4.5,7.2,6.6,6.38,Trung bình
158,SV00158,Sinh viên 158,9.8,8.1,6.9,4.0,5.63,Trung bình
159,SV00159,Sinh viên 159,7.3,9.5,4.6,6.4,6.68,Khá
160,SV00160,Sinh viên 160,7.6,6.8,6.9,6.7,6.83,Khá
161,SV00161,Sinh viên 161,6.5,9.0,6.4,7.0,7.16,Khá
162,SV00162,Sinh viên 162,9.9,8.7,9.7,5.7,7.17,Khá
163,SV00163,Sinh viên 163,9.2,5.3,9.2,2.6,4.65,Yếu
164,SV00164,Sinh viên 164,8.9,5.8,4.0,9.1,7.82,Khá
165,SV00165,Sinh viên 165,6.9,8.3,8.0,2.7,4.75,Yếu
166,SV00166,Sinh viên 166,6.3,5.3,5.3,4.7,5.04,Trung bình
167,SV00167,Sinh viên 167,9.9,7.9,3.1,8.7,7.86,Khá
168,SV00168,Sinh viên 168,7.3,7.5,3.5,8.9,7.72,Khá
169,SV00169,Sinh viên 169,6.6,4.1,8.1,5.8,5.97,Trung bình
170,SV00170,Sinh viên 170,9.4,8.2,9.5,2.3,4.97,Yếu
171,SV00171,Sinh viên 171,9.7,3.6,8.0,2.3,4.09,Yếu
172,SV00172,Sinh viên 172,6.4,7.9,4.7,5.9,6.07,Trung bình
173,SV00173,Sinh viên 173,8.0,7.8,4.4,8.8,7.91,Khá
174,SV00174,Sinh viên 174,9.7,7.1,8.4,7.6,7.85,Khá
175,SV00175,Sinh viên 175,5.8,6.2,4.5,9.6,7.94,Khá
176,SV00176,Sinh viên 176,7.9,5.4,5.3,9.4,8.04,Giỏi
177,SV00177,Sinh viên 177,7.1,5.0,9.3,3.0,4.65,Yếu
178,SV00178,Sinh viên 178,5.5,3.2,8.3,5.5,5.57,Trung bình
179,SV00179,Sinh viên 179,6.0,6.1,9.7,6.3,6.75,Khá
180,SV00180,Sinh viên 180,8.5,4.1,6.8,3.7,4.71,Yếu
181,SV00181,Sinh viên 181,9.3,9.1,5.9,5.6,6.54,Khá
182,SV00182,Sinh viên 182,5.9,4.3,4.6,6.6,5.88,Trung bình
183,SV00183,Sinh viên 183,7.5,6.1,9.4,3.5,5.17,Trung bình
184,SV00184,Sinh viên 184,8.5,5.0,3.1,4.0,4.46,Yếu
185,SV00185,Sinh viên 185,8.9,4.6,3.1,7.5,6.54,Khá
186,SV00186,Sinh viên 186,6.6,9.2,6.4,2.6,4.56,Yếu
187,SV00187,Sinh viên 187,7.8,9.3,5.8,4.9,5.98,Trung bình
188,SV00188,Sinh viên 188,7.2,9.3,3.4,7.8,7.3,Khá
189,SV00189,Sinh viên 189,6.9,3.3,5.6,7.3,6.4,Trung bình
190,SV00190,Sinh viên 190,5.0,9.1,3.8,4.9,5.38,Trung bình
191,SV00191,Sinh viên 191,8.8,3.9,4.9,9.9,8.14,Giỏi
192,SV00192,Sinh viên 192,5.0,3.8,3.6,2.4,3.05,Yếu
193,SV00193,Sinh viên 193,6.0,9.8,7.1,2.5,4.63,Yếu
194,SV00194,Sinh viên 194,8.0,7.3,6.4,9.6,8.61,Giỏi
195,SV00195,Sinh viên 195,5.1,3.4,3.4,3.6,3.69,Yếu
196,SV00196,Sinh viên 196,8.2,3.6,3.8,9.8,7.81,Khá
197,SV00197,Sinh viên 197,7.7,3.5,6.4,9.9,8.2,Giỏi
198,SV00198,Sinh viên 198,5.7,5.3,6.7,4.9,5.31,Trung bình
199,SV00199,Sinh viên 199,5.8,7.2,7.4,6.2,6.49,Trung bình
200,SV00200,Sinh viên 200,6.4,9.5,3.6,6.3,6.38,Trung bình
201,SV00201,Sinh viên 201,5.5,10.0,6.9,4.4,5.72,Trung bình
202,SV00202,Sinh viên 202,7.1,5.4,4.1,9.3,7.71,Khá
203,SV00203,Sinh viên 203,6.9,7.9,3.9,3.6,4.62,Yếu
204,SV00204,Sinh viên 204,6.7,9.9,9.3,7.1,7.81,Khá
205,SV00205,Sinh viên 205,5.2,4.7,8.2,9.6,8.21,Giỏi
206,SV00206,Sinh viên 206,9.3,5.0,8.4,3.9,5.28,Trung bình
207,SV00207,Sinh viên 207,5.4,10.0,7.1,4.2,5.62,Trung bình
208,SV00208,Sinh viên 208,7.7,5.5,6.4,3.0,4.35,Yếu
209,SV00209,Sinh viên 209,7.3,4.8,9.7,9.9,8.85,Giỏi
210,SV00210,Sinh viên 210,7.0,6.2,5.9,3.1,4.38,Yếu
211,SV00211,Sinh viên 211,7.2,6.6,6.1,9.2,8.14,Giỏi
212,SV00212,Sinh viên 212,6.1,6.2,6.9,5.9,6.12,Trung bình
213,SV00213,Sinh viên 213,6.2,4.6,6.1,2.6,3.78,Yếu
214,SV00214,Sinh viên 214,7.5,7.4,5.6,8.4,7.74,Khá
215,SV00215,Sinh viên 215,7.2,4.8,5.6,2.6,3.84,Yếu
216,SV00216,Sinh viên 216,6.9,7.6,8.6,2.2,4.44,Yếu
217,SV00217,Sinh viên 217,6.2,7.3,7.7,6.7,6.89,Khá
218,SV00218,Sinh viên 218,6.7,4.0,4.2,9.5,7.6,Khá
219,SV00219,Sinh viên 219,8.9,9.4,7.0,9.5,9.05,Giỏi
220,SV00220,Sinh viên 220,9.7,7.2,6.0,2.1,4.21,Yếu
221,SV00221,Sinh viên 221,8.5,5.8,7.3,2.3,4.2,Yếu
222,SV00222,Sinh viên 222,8.9,8.3,8.3,9.2,8.9,Giỏi
223,SV00223,Sinh viên 223,8.6,3.3,5.3,3.9,4.49,Yếu
224,SV00224,Sinh viên 224,8.5,5.1,9.9,5.3,6.28,Trung bình
225,SV00225,Sinh viên 225,5.4,4.0,6.5,8.9,7.46,Khá
226,SV00226,Sinh viên 226,8.4,8.4,7.6,8.1,8.1,Giỏi
227,SV00227,Sinh viên 227,5.7,8.8,3.8,6.5,6.36,Trung bình
228,SV00228,Sinh viên 228,5.5,8.2,5.1,8.6,7.7,Khá
229,SV00229,Sinh viên 229,9.4,9.0,7.8,7.1,7.72,Khá
230,SV00230,Sinh viên 230,8.8,6.2,5.2,2.9,4.33,Yếu
231,SV00231,Sinh viên 231,7.3,5.0,5.5,6.8,6.38,Trung bình
232,SV00232,Sinh viên 232,9.4,7.6,7.0,4.8,6.01,Trung bình
233,SV00233,Sinh viên 233,8.9,9.3,3.7,5.6,6.2,Trung bình
234,SV00234,Sinh viên 234,8.8,4.8,3.5,7.8,6.8,Khá
235,SV00235,Sinh viên 235,5.1,4.4,4.3,6.6,5.77,Trung bình
236,SV00236,Sinh viên 236,9.9,9.5,4.7,8.7,8.34,Giỏi
237,SV00237,Sinh viên 237,6.1,5.5,5.9,9.0,7.72,Khá
238,SV00238,Sinh viên 238,8.0,9.1,9.0,3.4,5.56,Trung bình
239,SV00239,Sinh viên 239,5.2,9.7,3.1,9.7,8.26,Giỏi
240,SV00240,Sinh viên 240,7.7,9.7,4.9,9.7,8.78,Giỏi
241,SV00241,Sinh viên 241,7.8,8.9,10.0,4.4,6.25,Trung bình
242,SV00242,Sinh viên 242,9.7,8.5,7.6,9.9,9.32,Giỏi
243,SV00243,Sinh viên 243,5.9,3.1,9.6,3.2,4.42,Yếu
244,SV00244,Sinh viên 244,5.2,3.7,6.7,5.9,5.62,Trung bình
245,SV00245,Sinh viên 245,8.7,8.6,3.0,3.5,4.71,Yếu
246,SV00246,Sinh viên 246,9.2,3.7,7.2,2.8,4.23,Yếu
247,SV00247,Sinh viên 247,6.4,5.5,7.7,2.1,3.88,Yếu
248,SV00248,Sinh viên 248,5.3,7.7,7.9,5.6,6.23,Trung bình
249,SV00249,Sinh viên 249,7.6,7.2,9.1,7.2,7.53,Khá
250,SV00250,Sinh viên 250,7.5,6.6,4.9,6.6,6.43,Trung bình
251,SV00251,Sinh viên 251,6.6,8.4,5.0,5.4,5.91,Trung bình
252,SV00252,Sinh viên 252,9.5,3.3,9.8,3.6,5.08,Trung bình
253,SV00253,Sinh viên 253,7.8,3.1,5.6,6.1,5.74,Trung bình
254,SV00254,Sinh viên 254,6.6,8.4,5.3,6.9,6.85,Khá
255,SV00255,Sinh viên 255,7.4,9.8,8.8,5.4,6.77,Khá
256,SV00256,Sinh viên 256,7.7,6.4,5.4,3.0,4.34,Yếu
257,SV00257,Sinh viên 257,5.1,8.7,8.7,3.3,5.1,Trung bình
258,SV00258,Sinh viên 258,9.7,6.1,8.3,2.3,4.51,Yếu
259,SV00259,Sinh viên 259,8.5,5.4,8.4,9.5,8.62,Giỏi
260,SV00260,Sinh viên 260,6.3,3.2,3.5,8.4,6.67,Khá
261,SV00261,Sinh viên 261,6.7,5.1,7.9,6.6,6.58,Khá
262,SV00262,Sinh viên 262,6.6,7.1,3.0,7.8,6.85,Khá
263,SV00263,Sinh viên 263,9.5,3.3,5.4,3.7,4.47,Yếu
264,SV00264,Sinh viên 264,9.6,3.6,4.0,4.6,4.86,Yếu
265,SV00265,Sinh viên 265,7.6,6.1,7.5,5.6,6.16,Trung bình
266,SV00266,Sinh viên 266,9.1,3.4,3.2,7.3,6.28,Trung bình
267,SV00267,Sinh viên 267,8.8,4.1,9.2,3.0,4.67,Yếu
268,SV00268,Sinh viên 268,5.0,9.7,4.1,6.0,6.17,Trung bình
269,SV00269,Sinh viên 269,5.6,4.0,6.5,9.0,7.53,Khá
270,SV00270,Sinh viên 270,5.1,9.7,5.3,9.3,8.34,Giỏi
271,SV00271,Sinh viên 271,6.1,4.4,8.1,8.4,7.53,Khá
272,SV00272,Sinh viên 272,8.3,6.0,5.0,3.4,4.52,Yếu
273,SV00273,Sinh viên 273,8.3,4.1,9.3,6.3,6.62,Khá
274,SV00274,Sinh viên 274,9.1,4.7,3.5,7.1,6.4,Trung bình
275,SV00275,Sinh viên 275,8.2,5.8,3.4,5.8,5.68,Trung bình
276,SV00276,Sinh viên 276,7.5,6.0,5.7,6.2,6.22,Trung bình
277,SV00277,Sinh viên 277,6.2,4.8,8.5,9.5,8.32,Giỏi
278,SV00278,Sinh viên 278,8.4,8.4,3.9,6.7,6.71,Khá
279,SV00279,Sinh viên 279,9.9,3.8,4.7,9.9,8.21,Giỏi
280,SV00280,Sinh viên 280,7.5,6.3,4.9,3.7,4.65,Yếu
281,SV00281,Sinh viên 281,5.3,7.8,8.7,4.2,5.53,Trung bình
282,SV00282,Sinh viên 282,5.1,5.4,4.6,4.1,4.47,Yếu
283,SV00283,Sinh viên 283,6.9,7.5,7.7,2.0,4.17,Yếu
284,SV00284,Sinh viên 284,9.2,8.3,3.8,8.4,7.78,Khá
285,SV00285,Sinh viên 285,5.6,9.9,3.7,8.0,7.4,Khá
286,SV00286,Sinh viên 286,9.8,7.2,4.4,3.4,4.76,Yếu
287,SV00287,Sinh viên 287,7.1,5.2,3.7,8.6,7.2,Khá
288,SV00288,Sinh viên 288,8.4,5.3,5.2,8.3,7.4,Khá
289,SV00289,Sinh viên 289,8.2,5.4,6.8,8.8,7.93,Khá
290,SV00290,Sinh viên 290,5.8,7.7,7.3,5.3,6.01,Trung bình
291,SV00291,Sinh viên 291,8.4,3.4,5.1,4.4,4.76,Yếu
292,SV00292,Sinh viên 292,7.2,9.8,6.3,8.3,8.12,Giỏi
293,SV00293,Sinh viên 293,7.6,5.9,4.5,8.9,7.66,Khá
294,SV00294,Sinh viên 294,8.7,8.7,6.6,8.0,7.96,Khá
295,SV00295,Sinh viên 295,8.6,8.3,8.2,9.8,9.21,Giỏi
296,SV00296,Sinh viên 296,5.8,5.5,7.2,9.9,8.43,Giỏi
297,SV00297,Sinh viên 297,6.0,6.0,9.2,7.5,7.38,Khá
298,SV00298,Sinh viên 298,5.9,8.7,5.7,5.8,6.23,Trung bình
299,SV00299,Sinh viên 299,8.7,5.0,3.1,4.7,4.9,Yếu
300,SV00300,Sinh viên 300,6.4,6.1,4.8,3.4,4.31,Yếu
301,SV00301,Sinh viên 301,6.0,9.6,9.8,10.0,9.51,Giỏi
302,SV00302,Sinh viên 302,9.2,3.5,5.6,4.8,5.17,Trung bình
303,SV00303,Sinh viên 303,8.3,7.3,3.7,9.0,7.88,Khá
304,SV00304,Sinh viên 304,5.7,9.8,4.8,4.5,5.46,Trung bình
305,SV00305,Sinh viên 305,5.7,7.0,3.7,8.9,7.51,Khá
306,SV00306,Sinh viên 306,7.8,6.9,6.4,3.0,4.58,Yếu
307,SV00307,Sinh viên 307,6.0,7.0,5.6,5.8,5.97,Trung bình
308,SV00308,Sinh viên 308,8.9,3.1,6.2,4.2,4.8,Yếu
309,SV00309,Sinh viên 309,8.3,9.6,5.6,4.0,5.51,Trung bình
310,SV00310,Sinh viên 310,8.0,6.4,5.9,3.3,4.62,Yếu
311,SV00311,Sinh viên 311,7.0,4.6,3.9,9.3,7.55,Khá
312,SV00312,Sinh viên 312,8.9,6.8,3.7,7.0,6.67,Khá
313,SV00313,Sinh viên 313,7.9,4.7,5.5,2.2,3.64,Yếu
314,SV00314,Sinh viên 314,8.7,5.7,8.2,5.0,5.96,Trung bình
315,SV00315,Sinh viên 315,5.3,9.1,4.8,10.0,8.61,Giỏi
316,SV00316,Sinh viên 316,8.9,8.5,6.0,5.5,6.37,Trung bình
317,SV00317,Sinh viên 317,6.2,9.1,9.9,5.5,6.77,Khá
318,SV00318,Sinh viên 318,9.4,7.8,9.6,5.7,6.97,Khá
319,SV00319,Sinh viên 319,6.7,6.1,7.7,2.4,4.18,Yếu
320,SV00320,Sinh viên 320,5.7,3.8,7.1,9.2,7.72,Khá
321,SV00321,Sinh viên 321,7.2,4.1,9.8,4.2,5.33,Trung bình
322,SV00322,Sinh viên 322,5.2,3.3,7.2,3.4,4.13,Yếu
323,SV00323,Sinh viên 323,9.2,7.0,4.5,5.0,5.64,Trung bình
324,SV00324,Sinh viên 324,5.4,9.7,8.9,3.1,5.19,Trung bình
325,SV00325,Sinh viên 325,5.1,6.0,9.2,5.1,5.85,Trung bình
326,SV00326,Sinh viên 326,7.6,8.3,5.4,4.6,5.58,Trung bình
327,SV00327,Sinh viên 327,9.7,8.4,4.6,4.6,5.68,Trung bình
328,SV00328,Sinh viên 328,7.3,8.5,9.2,6.9,7.52,Khá
329,SV00329,Sinh viên 329,8.4,3.8,5.6,2.4,3.69,Yếu
330,SV00330,Sinh viên 330,8.6,5.5,6.8,2.8,4.38,Yếu
331,SV00331,Sinh viên 331,5.5,4.6,7.2,2.8,4.0,Yếu
332,SV00332,Sinh viên 332,9.3,9.4,9.4,2.9,5.49,Trung bình
333,SV00333,Sinh viên 333,5.3,6.7,9.1,4.2,5.42,Trung bình
334,SV00334,Sinh viên 334,5.7,4.6,7.5,6.0,5.98,Trung bình
335,SV00335,Sinh viên 335,8.5,9.7,4.5,3.1,4.84,Yếu
336,SV00336,Sinh viên 336,9.6,7.7,7.0,3.6,5.32,Trung bình
337,SV00337,Sinh viên 337,8.3,4.0,5.5,3.8,4.54,Yếu
338,SV00338,Sinh viên 338,8.5,3.5,8.4,4.4,5.28,Trung bình
